_林林 ;林竟 4竟林 7竟竟	aaaa
_书老 ;书织 4扬老 7扬织	ppri
_书者 ;书终 4扬者 7扬终	pprj
_书级 ;书绍 4扬级 7扬绍	pprk
_书二 ;书器 4扬二 7扬器	pprl
_书结 ;书继 4扬结 7扬继	pprm
_书红 ;书县 4扬红 7扬县	pprn
_书尔 ;书久 4扬尔 7扬久	ppro
_书统 ;书专 4扬统 7扬专	pprp
_书解 ;书角 4扬解 7扬角	pprq
_书组 ;书绝 4扬组 7扬绝	pprr
_书约 ;书急 4扬约 7扬急	pprs
_书给 ;书缓 4扬给 7扬缓	pprt
_书争 ;书缄 4扬争 7扬缄	ppru
_书维 ;书纷 4扬维 7扬纷	pprv
_书经 ;书曲 4扬经 7扬曲	pprw
_书骂 ;书绮 4扬骂 7扬绮	pprx
_书教 ;书孝 4扬教 7扬孝	ppry
_书纳 ;书绩 4扬纳 7扬绩	pprz
_书果 ;书男 4扬果 7扬男	ppsa
_书忽 ;书匆 4扬忽 7扬匆	ppsb
_书群 ;书君 4扬群 7扬君	ppsc
_书包 ;书姓 4扬包 7扬姓	ppsd
_书辉 ;书耀 4扬辉 7扬耀	ppse
_书遇 ;书愚 4扬遇 7扬愚	ppsf
_书全 ;书齿 4扬全 7扬齿	ppsg
_书她 ;书录 4扬她 7扬录	ppsh
_书如 ;书恕 4扬如 7扬恕	ppsi
_书光 ;书妹 4扬光 7扬妹	ppsj
_书个 ;书介 4扬个 7扬介	ppsk
_书企 ;书田 4扬企 7扬田	ppsl
_书女 ;书媒 4扬女 7扬媒	ppsm
_书思 ;书始 4扬思 7扬始	ppsn
_书娘 ;书妙 4扬娘 7扬妙	ppso
_书会 ;书娜 4扬会 7扬娜	ppsp
_书略 ;书姑 4扬略 7扬姑	ppsq
_书姐 ;书姥 4扬姐 7扬姥	ppsr
_书从 ;书界 4扬从 7扬界	ppss
_书甲 ;书龄 4扬甲 7扬龄	ppst
_书规 ;书姊 4扬规 7扬姊	ppsu
_书夫 ;书舍 4扬夫 7扬舍	ppsv
_书创 ;书怒 4扬创 7扬怒	ppsw
_书妈 ;书姨 4扬妈 7扬姨	ppsx
_书好 ;书灵 4扬好 7扬灵	ppsy
_书余 ;书途 4扬余 7扬途	ppsz
_书采 ;书彩 4扬采 7扬彩	ppta
_书陵 ;书奚 4扬陵 7扬奚	pptb
_书霆 ;书爲 4扬霆 7扬爲	pptc
_书际 ;书赘 4扬际 7扬赘	pptd
_书受 ;书院 4扬受 7扬院	ppte
_书雨 ;书陌 4扬雨 7扬陌	pptf
_书随 ;书霸 4扬随 7扬霸	pptg
_书剑 ;书陛 4扬剑 7扬陛	ppth
_书命 ;书拿 4扬命 7扬拿	ppti
_书阳 ;书配 4扬阳 7扬配	pptj
_书金 ;书附 4扬金 7扬附	pptk
_书陈 ;书退 4扬陈 7扬退	pptl
_书防 ;书阴 4扬防 7扬阴	pptm
_书领 ;书令 4扬领 7扬令	pptn
_书更 ;书爪 4扬更 7扬爪	ppto
_书今 ;书念 4扬今 7扬念	pptp
_书句 ;书震 4扬句 7扬震	pptq
_书隐 ;书阻 4扬隐 7扬阻	pptr
_书队 ;书除 4扬队 7扬除	ppts
_书限 ;书险 4扬限 7扬险	pptt
_书需 ;书既 4扬需 7扬既	pptu
_书霍 ;书隧 4扬霍 7扬隧	pptv
_书即 ;书醇 4扬即 7扬醇	pptw
_书够 ;书醋 4扬够 7扬醋	pptx
_书阵 ;书陪 4扬阵 7扬陪	ppty
_书阿 ;书酥 4扬阿 7扬酥	pptz
_书而 ;书困 4扬而 7扬困	ppua
_书率 ;书玄 4扬率 7扬玄	ppub
_书黑 ;书跃 4扬黑 7扬跃	ppuc
_书费 ;书帕 4扬费 7扬帕	ppud
_书无 ;书缺 4扬无 7扬缺	ppue
_书感 ;书威 4扬感 7扬威	ppuf
_书团 ;书跋 4扬团 7扬跋	ppug
_书束 ;书踏 4扬束 7扬踏	ppuh
_书回 ;书圆 4扬回 7扬圆	ppui
_书图 ;书帽 4扬图 7扬帽	ppuj
_书夜 ;书顶 4扬夜 7扬顶	ppuk
_书速 ;书默 4扬速 7扬默	ppul
_书踞 ;书蹂 4扬踞 7扬蹂	ppum
_书缸 ;书踊 4扬缸 7扬踊	ppun
_书离 ;书踉 4扬离 7扬踉	ppuo
_书成 ;书盛 4扬成 7扬盛	ppup
_书路 ;书围 4扬路 7扬围	ppuq
_书整 ;书园 4扬整 7扬园	ppur
_书跑 ;书耍 4扬跑 7扬耍	ppus
_书跟 ;书踩 4扬跟 7扬踩	pput
_书市 ;书颤 4扬市 7扬颤	ppuu
_书建 ;书圈 4扬建 7扬圈	ppuv
_书见 ;书巾 4扬见 7扬巾	ppuw
_书因 ;书恩 4扬因 7扬恩	ppux
_书变 ;书亦 4扬变 7扬亦	ppuy
_书足 ;书踌 4扬足 7扬踌	ppuz
_书集 ;书谙 4扬集 7扬谙	ppva
_书讲 ;书诗 4扬讲 7扬诗	ppvb
_书道 ;书首 4扬道 7扬首	ppvc
_书让 ;书祭 4扬让 7扬祭	ppvd
_书登 ;书谊 4扬登 7扬谊	ppve
_书证 ;书兮 4扬证 7扬兮	ppvf
_书计 ;书读 4扬计 7扬读	ppvg
_书论 ;书谐 4扬论 7扬谐	ppvh
_书总 ;书识 4扬总 7扬识	ppvi
_书记 ;书语 4扬记 7扬语	ppvj
_书分 ;书贫 4扬分 7扬贫	ppvk
_书许 ;书适 4扬许 7扬适	ppvl
_书前 ;书谋 4扬前 7扬谋	ppvm
_书公 ;书试 4扬公 7扬试	ppvn
_书议 ;书父 4扬议 7扬父	ppvo
_书半 ;书乱 4扬半 7扬乱	ppvp
_书设 ;书兰 4扬设 7扬兰	ppvq
_书敌 ;书诸 4扬敌 7扬诸	ppvr
_书认 ;书单 4扬认 7扬单	ppvs
_书尊 ;书遵 4扬尊 7扬遵	ppvt
_书曾 ;书弟 4扬曾 7扬弟	ppvu
_书话 ;书谁 4扬话 7扬谁	ppvv
_书并 ;书诺 4扬并 7扬诺	ppvw
_书关 ;书送 4扬关 7扬送	ppvx
_书该 ;书八 4扬该 7扬八	ppvy
_书请 ;书调 4扬请 7扬调	ppvz
_书苏 ;书劝 4扬苏 7扬劝	ppwa
_书圣 ;书菱 4扬圣 7扬菱	ppwb
_书薛 ;书孽 4扬薛 7扬孽	ppwc
_书岛 ;书菲 4扬岛 7扬菲	ppwd
_书营 ;书劳 4扬营 7扬劳	ppwe
_书卫 ;书欢 4扬卫 7扬欢	ppwf
_书若 ;书惹 4扬若 7扬惹	ppwg
_书落 ;书范 4扬落 7扬范	ppwh
_书又 ;书戏 4扬又 7扬戏	ppwi
_书草 ;书莫 4扬草 7扬莫	ppwj
_书花 ;书刘 4扬花 7扬刘	ppwk
_书对 ;书获 4扬对 7扬获	ppwl
_书文 ;书芳 4扬文 7扬芳	ppwm
_书高 ;书蒋 4扬高 7扬蒋	ppwn
_书就 ;书京 4扬就 7扬京	ppwo
_书象 ;书亮 4扬象 7扬亮	ppwp
_书苦 ;书葬 4扬苦 7扬葬	ppwq
_书药 ;书著 4扬药 7扬著	ppwr
_书茶 ;书苍 4扬茶 7扬苍	ppws
_书警 ;书萨 4扬警 7扬萨	ppwt
_书观 ;书藏 4扬观 7扬藏	ppwu
_书难 ;书蔡 4扬难 7扬蔡	ppwv
_书双 ;书节 4扬双 7扬节	ppww
_书荒 ;书芒 4扬荒 7扬芒	ppwx
_书熟 ;书享 4扬熟 7扬享	ppwy
_书英 ;书莉 4扬英 7扬莉	ppwz
_书党 ;书棠 4扬党 7扬棠	ppxa
_书堂 ;书奎 4扬堂 7扬奎	ppxb
_书亡 ;书骄 4扬亡 7扬骄	ppxc
_书外 ;书赏 4扬外 7扬赏	ppxd
_书疾 ;书驱 4扬疾 7扬驱	ppxe
_书病 ;书疗 4扬病 7扬疗	ppxf
_书奔 ;书盲 4扬奔 7扬盲	ppxg
_书马 ;书驰 4扬马 7扬驰	ppxh
_书名 ;书燕 4扬名 7扬燕	ppxi
_书入 ;书疼 4扬入 7扬疼	ppxj
_书长 ;书廿 4扬长 7扬廿	ppxk
_书达 ;书夺 4扬达 7扬夺	ppxl
_书望 ;书散 4扬望 7扬散	ppxm
_书痛 ;书忘 4扬痛 7扬忘	ppxn
_书太 ;书态 4扬太 7扬态	ppxo
_书世 ;书掌 4扬世 7扬掌	ppxp
_书疫 ;书骤 4扬疫 7扬骤	ppxq
_书夸 ;书奢 4扬夸 7扬奢	ppxr
_书套 ;书奋 4扬套 7扬奋	ppxs
_书验 ;书痕 4扬验 7扬痕	ppxt
_书常 ;书夕 4扬常 7扬夕	ppxu
_书共 ;书恭 4扬共 7扬恭	ppxv
_书怨 ;书瘦 4扬怨 7扬瘦	ppxw
_书多 ;书骑 4扬多 7扬骑	ppxx
_书尚 ;书骇 4扬尚 7扬骇	ppxy
_书奇 ;书痢 4扬奇 7扬痢	ppxz
_书新 ;书亲 4扬新 7扬亲	ppya
_书牙 ;书罢 4扬牙 7扬罢	ppyb
_书较 ;书轿 4扬较 7扬轿	ppyc
_书站 ;书罪 4扬站 7扬罪	ppyd
_书帝 ;书旁 4扬帝 7扬旁	ppye
_书车 ;书软 4扬车 7扬软	ppyf
_书置 ;书辅 4扬置 7扬辅	ppyg
_书轮 ;书徽 4扬轮 7扬徽	ppyh
_书部 ;书竞 4扬部 7扬竞	ppyi
_书爆 ;书竭 4扬爆 7扬竭	ppyj
_书刻 ;书烦 4扬刻 7扬烦	ppyk
_书连 ;书炼 4扬连 7扬炼	ppyl
_书燃 ;书煤 4扬燃 7扬煤	ppym
_书烁 ;书轼 4扬烁 7扬轼	ppyn
_书产 ;书孙 4扬产 7扬孙	ppyo
_书微 ;书孔 4扬微 7扬孔	ppyp
_书立 ;书孤 4扬立 7扬孤	ppyq
_书转 ;书署 4扬转 7扬署	ppyr
_书炮 ;书蜀 4扬炮 7扬蜀	ppys
_书四 ;书输 4扬四 7扬输	ppyt
_书烟 ;书灯 4扬烟 7扬灯	ppyu
_书火 ;书雅 4扬火 7扬雅	ppyv
_书轻 ;书轰 4扬轻 7扬轰	ppyw
_书罗 ;书逻 4扬罗 7扬逻	ppyx
_书孩 ;书炎 4扬孩 7扬炎	ppyy
_书商 ;书靖 4扬商 7扬靖	ppyz
_书策 ;书免 4扬策 7扬免	ppza
_书等 ;书周 4扬等 7扬周	ppzb
_书笑 ;书窗 4扬笑 7扬窗	ppzc
_书究 ;书责 4扬究 7扬责	ppzd
_书管 ;书窄 4扬管 7扬窄	ppze
_书同 ;书篇 4扬同 7扬篇	ppzf
_书算 ;书稽 4扬算 7扬稽	ppzg
_书素 ;书丰 4扬素 7扬丰	ppzh
_书种 ;书程 4扬种 7扬程	ppzi
_书可 ;书香 4扬可 7扬香	ppzj
_书利 ;书符 4扬利 7扬符	ppzk
_书突 ;书寿 4扬突 7扬寿	ppzl
_书青 ;书静 4扬青 7扬静	ppzm
_书空 ;书秘 4扬空 7扬秘	ppzn
_书表 ;书刚 4扬表 7扬刚	ppzo
_书科 ;书秃 4扬科 7扬秃	ppzp
_书毒 ;书砉 4扬毒 7扬砉	ppzq
_书称 ;书稳 4扬称 7扬稳	ppzr
_书内 ;书委 4扬内 7扬委	ppzs
_书答 ;书帮 4扬答 7扬帮	ppzt
_书第 ;书丹 4扬第 7扬丹	ppzu
_书税 ;书透 4扬税 7扬透	ppzv
_书稿 ;书篙 4扬稿 7扬篙	ppzw
_书移 ;书央 4扬移 7扬央	ppzx
_书穿 ;书秋 4扬穿 7扬秋	ppzy
_书哥 ;书歌 4扬哥 7扬歌	ppzz
_投林 ;投竟 4敢林 7敢竟	pqaa
_投杜 ;投横 4敢杜 7敢横	pqab
_投校 ;投杯 4敢校 7敢杯	pqac
_投标 ;投柏 4敢标 7敢柏	pqad
_投齐 ;投柜 4敢齐 7敢柜	pqae
_投本 ;投柳 4敢本 7敢柳	pqaf
_投相 ;投章 4敢相 7敢章	pqag
_投儿 ;投楷 4敢儿 7敢楷	pqah
_投样 ;投加 4敢样 7敢加	pqai
_投查 ;投木 4敢查 7敢木	pqaj
_投极 ;投剂 4敢极 7敢剂	pqak
_投边 ;投村 4敢边 7敢村	pqal
_投两 ;投楼 4敢两 7敢楼	pqam
_投意 ;投桶 4敢意 7敢桶	pqan
_投术 ;投述 4敢术 7敢述	pqao
_投机 ;投杨 4敢机 7敢杨	pqap
_投格 ;投枯 4敢格 7敢枯	pqaq
_投音 ;投枚 4敢音 7敢枚	pqar
_投构 ;投枪 4敢构 7敢枪	pqas
_投根 ;投检 4敢根 7敢检	pqat
_投力 ;投杭 4敢力 7敢杭	pqau
_投办 ;投松 4敢办 7敢松	pqav
_投权 ;投树 4敢权 7敢树	pqaw
_投椅 ;投槿 4敢椅 7敢槿	pqax
_投李 ;投核 4敢李 7敢核	pqay
_投刺 ;投柯 4敢刺 7敢柯	pqaz
_投境 ;投闲 4敢境 7敢闲	pqba
_投封 ;投墙 4敢封 7敢墙	pqbb
_投坏 ;投埠 4敢坏 7敢埠	pqbc
_投埋 ;投盐 4敢埋 7敢盐	pqbd
_投块 ;投坡 4敢块 7敢坡	pqbe
_投坎 ;投闩 4敢坎 7敢闩	pqbf
_投闭 ;投填 4敢闭 7敢填	pqbg
_投支 ;投阔 4敢支 7敢阔	pqbh
_投问 ;投幸 4敢问 7敢幸	pqbi
_投间 ;投坦 4敢间 7敢坦	pqbj
_投须 ;投阀 4敢须 7敢阀	pqbk
_投进 ;投寺 4敢进 7敢寺	pqbl
_投土 ;投堪 4敢土 7敢堪	pqbm
_投去 ;投却 4敢去 7敢却	pqbn
_投门 ;投髦 4敢门 7敢髦	pqbo
_投场 ;投幻 4敢场 7敢幻	pqbp
_投闻 ;投阁 4敢闻 7敢阁	pqbq
_投堵 ;投阎 4敢堵 7敢阎	pqbr
_投闪 ;投均 4敢闪 7敢均	pqbs
_投垣 ;投埂 4敢垣 7敢埂	pqbt
_投城 ;投闹 4敢城 7敢闹	pqbu
_投增 ;投堆 4敢增 7敢堆	pqbv
_投塔 ;投坟 4敢塔 7敢坟	pqbw
_投黄 ;投闯 4敢黄 7敢闯	pqbx
_投鬼 ;投培 4敢鬼 7敢培	pqby
_投井 ;投髯 4敢井 7敢髯	pqbz
_投六 ;投镜 4敢六 7敢镜	pqca
_投血 ;投丢 4敢血 7敢丢	pqcb
_投铁 ;投铢 4敢铁 7敢铢	pqcc
_投乏 ;投钻 4敢乏 7敢钻	pqcd
_投锭 ;投钜 4敢锭 7敢钜	pqce
_投钱 ;投钦 4敢钱 7敢钦	pqcf
_投镇 ;投针 4敢镇 7敢针	pqcg
_投系 ;投锤 4敢系 7敢锤	pqch
_投否 ;投钟 4敢否 7敢钟	pqci
_投自 ;投朱 4敢自 7敢朱	pqcj
_投到 ;投钊 4敢到 7敢钊	pqck
_投还 ;投延 4敢还 7敢延	pqcl
_投翻 ;投释 4敢翻 7敢释	pqcm
_投么 ;投息 4敢么 7敢息	pqcn
_投交 ;投效 4敢交 7敢效	pqco
_投我 ;投鹅 4敢我 7敢鹅	pqcp
_投镖 ;投甭 4敢镖 7敢甭	pqcq
_投致 ;投铮 4敢致 7敢铮	pqcr
_投失 ;投鼻 4敢失 7敢鼻	pqcs
_投银 ;投铃 4敢银 7敢铃	pqct
_投追 ;投币 4敢追 7敢币	pqcu
_投乎 ;投锐 4敢乎 7敢锐	pqcv
_投升 ;投钗 4敢升 7敢钗	pqcw
_投错 ;投乔 4敢错 7敢乔	pqcx
_投至 ;投链 4敢至 7敢链	pqcy
_投向 ;投奥 4敢向 7敢奥	pqcz
_投杂 ;投嶂 4敢杂 7敢嶂	pqda
_投社 ;投幽 4敢社 7敢幽	pqdb
_投卑 ;投贬 4敢卑 7敢贬	pqdc
_投示 ;投贴 4敢示 7敢贴	pqdd
_投崇 ;投贮 4敢崇 7敢贮	pqde
_投上 ;投福 4敢上 7敢福	pqdf
_投皇 ;投财 4敢皇 7敢财	pqdg
_投生 ;投泉 4敢生 7敢泉	pqdh
_投点 ;投战 4敢点 7敢战	pqdi
_投神 ;投桌 4敢神 7敢桌	pqdj
_投则 ;投颐 4敢则 7敢颐	pqdk
_投导 ;投迫 4敢导 7敢迫	pqdl
_投非 ;投野 4敢非 7敢野	pqdm
_投里 ;投悲 4敢里 7敢悲	pqdn
_投之 ;投岸 4敢之 7敢岸	pqdo
_投九 ;投礼 4敢九 7敢礼	pqdp
_投岩 ;投赂 4敢岩 7敢赂	pqdq
_投败 ;投祖 4敢败 7敢祖	pqdr
_投山 ;投购 4敢山 7敢购	pqds
_投岭 ;投祁 4敢岭 7敢祁	pqdt
_投视 ;投巳 4敢视 7敢巳	pqdu
_投禅 ;投赚 4敢禅 7敢赚	pqdv
_投异 ;投斐 4敢异 7敢斐	pqdw
_投岁 ;投账 4敢岁 7敢账	pqdx
_投白 ;投辈 4敢白 7敢辈	pqdy
_投臣 ;投岗 4敢臣 7敢岗	pqdz
_投宋 ;投匹 4敢宋 7敢匹	pqea
_投寒 ;投塞 4敢寒 7敢塞	pqeb
_投室 ;投宅 4敢室 7敢宅	pqec
_投宗 ;投寂 4敢宗 7敢寂	pqed
_投医 ;投巨 4敢医 7敢巨	pqee
_投写 ;投富 4敢写 7敢富	pqef
_投宝 ;投宏 4敢宝 7敢宏	pqeg
_投它 ;投羽 4敢它 7敢羽	pqeh
_投知 ;投鱼 4敢知 7敢鱼	pqei
_投审 ;投鲁 4敢审 7敢鲁	pqej
_投定 ;投颇 4敢定 7敢颇	pqek
_投实 ;投守 4敢实 7敢守	pqel
_投皮 ;投鳞 4敢皮 7敢鳞	pqem
_投怎 ;投密 4敢怎 7敢密	pqen
_投区 ;投农 4敢区 7敢农	pqeo
_投容 ;投冗 4敢容 7敢冗	pqep
_投客 ;投额 4敢客 7敢额	pqeq
_投完 ;投宜 4敢完 7敢宜	pqer
_投安 ;投案 4敢安 7敢案	pqes
_投宣 ;投鲫 4敢宣 7敢鲫	pqet
_投官 ;投宁 4敢官 7敢宁	pqeu
_投察 ;投罕 4敢察 7敢罕	pqev
_投巴 ;投宽 4敢巴 7敢宽	pqew
_投寄 ;投宛 4敢寄 7敢宛	pqex
_投军 ;投字 4敢军 7敢字	pqey
_投害 ;投割 4敢害 7敢割	pqez
_投末 ;投兀 4敢末 7敢兀	pqfa
_投街 ;投耕 4敢街 7敢耕	pqfb
_投夏 ;投饿 4敢夏 7敢饿	pqfc
_投下 ;投百 4敢下 7敢百	pqfd
_投带 ;投馆 4敢带 7敢馆	pqfe
_投乡 ;投饮 4敢乡 7敢饮	pqff
_投于 ;投髓 4敢于 7敢髓	pqfg
_投求 ;投救 4敢求 7敢救	pqfh
_投事 ;投顿 4敢事 7敢顿	pqfi
_投行 ;投遍 4敢行 7敢遍	pqfj
_投万 ;投户 4敢万 7敢户	pqfk
_投正 ;投政 4敢正 7敢政	pqfl
_投房 ;投丽 4敢房 7敢丽	pqfm
_投武 ;投瓦 4敢武 7敢瓦	pqfn
_投所 ;投亚 4敢所 7敢亚	pqfo
_投与 ;投饲 4敢与 7敢饲	pqfp
_投气 ;投骷 4敢气 7敢骷	pqfq
_投遭 ;投曹 4敢遭 7敢曹	pqfr
_投留 ;投互 4敢留 7敢互	pqfs
_投卿 ;投馁 4敢卿 7敢馁	pqft
_投了 ;投妻 4敢了 7敢妻	pqfu
_投骨 ;投雇 4敢骨 7敢雇	pqfv
_投开 ;投形 4敢开 7敢形	pqfw
_投天 ;投吞 4敢天 7敢吞	pqfx
_投严 ;投灭 4敢严 7敢灭	pqfy
_投习 ;投丙 4敢习 7敢丙	pqfz
_投协 ;投勒 4敢协 7敢勒	pqga
_投庄 ;投鞋 4敢庄 7敢鞋	pqgb
_投才 ;投环 4敢才 7敢环	pqgc
_投理 ;投店 4敢理 7敢店	pqgd
_投索 ;投勃 4敢索 7敢勃	pqge
_投球 ;投庐 4敢球 7敢庐	pqgf
_投真 ;投直 4敢真 7敢直	pqgg
_投应 ;投睡 4敢应 7敢睡	pqgh
_投王 ;投右 4敢王 7敢右	pqgi
_投朝 ;投韩 4敢朝 7敢韩	pqgj
_投存 ;投府 4敢存 7敢府	pqgk
_投十 ;投瓒 4敢十 7敢瓒	pqgl
_投有 ;投序 4敢有 7敢序	pqgm
_投左 ;投雄 4敢左 7敢雄	pqgn
_投革 ;投玉 4敢革 7敢玉	pqgo
_投广 ;投卖 4敢广 7敢卖	pqgp
_投底 ;投瑚 4敢底 7敢瑚	pqgq
_投玩 ;投睁 4敢玩 7敢睁	pqgr
_投座 ;投康 4敢座 7敢康	pqgs
_投眼 ;投瞬 4敢眼 7敢瞬	pqgt
_投现 ;投布 4敢现 7敢布	pqgu
_投具 ;投瞧 4敢具 7敢瞧	pqgv
_投友 ;投弄 4敢友 7敢弄	pqgw
_投度 ;投席 4敢度 7敢席	pqgx
_投目 ;投库 4敢目 7敢库	pqgy
_投再 ;投南 4敢再 7敢南	pqgz
_投济 ;投嘉 4敢济 7敢嘉	pqha
_投法 ;投益 4敢法 7敢益	pqhb
_投千 ;投泛 4敢千 7敢泛	pqhc
_投重 ;投激 4敢重 7敢激	pqhd
_投学 ;投觉 4敢学 7敢觉	pqhe
_投面 ;投汽 4敢面 7敢汽	pqhf
_投水 ;投泪 4敢水 7敢泪	pqhg
_投比 ;投毕 4敢比 7敢毕	pqhh
_投喜 ;投洋 4敢喜 7敢洋	pqhi
_投洲 ;投温 4敢洲 7敢温	pqhj
_投梁 ;投渊 4敢梁 7敢渊	pqhk
_投海 ;投洗 4敢海 7敢洗	pqhl
_投游 ;投泥 4敢游 7敢泥	pqhm
_投治 ;投江 4敢治 7敢江	pqhn
_投消 ;投派 4敢消 7敢派	pqho
_投流 ;投沿 4敢流 7敢沿	pqhp
_投没 ;投湖 4敢没 7敢湖	pqhq
_投收 ;投污 4敢收 7敢污	pqhr
_投以 ;投潜 4敢以 7敢潜	pqhs
_投酒 ;投浮 4敢酒 7敢浮	pqht
_投湾 ;投津 4敢湾 7敢津	pqhu
_投活 ;投兴 4敢活 7敢兴	pqhv
_投满 ;投汉 4敢满 7敢汉	pqhw
_投港 ;投洪 4敢港 7敢洪	pqhx
_投渐 ;投淡 4敢渐 7敢淡	pqhy
_投清 ;投河 4敢清 7敢河	pqhz
_投别 ;投另 4敢别 7敢另	pqia
_投飞 ;投盖 4敢飞 7敢盖	pqib
_投响 ;投呼 4敢响 7敢呼	pqic
_投员 ;投羊 4敢员 7敢羊	pqid
_投吧 ;投戈 4敢吧 7敢戈	pqie
_投号 ;投吴 4敢号 7敢吴	pqif
_投着 ;投叶 4敢着 7敢叶	pqig
_投叫 ;投嘻 4敢叫 7敢嘻	pqih
_投或 ;投惑 4敢或 7敢惑	pqii
_投虽 ;投喝 4敢虽 7敢喝	pqij
_投划 ;投吸 4敢划 7敢吸	pqik
_投吃 ;投嘴 4敢吃 7敢嘴	pqil
_投呢 ;投嘱 4敢呢 7敢嘱	pqim
_投差 ;投唉 4敢差 7敢唉	pqin
_投听 ;投史 4敢听 7敢史	pqio
_投哪 ;投啦 4敢哪 7敢啦	pqip
_投口 ;投咕 4敢口 7敢咕	pqiq
_投品 ;投唤 4敢品 7敢唤	pqir
_投由 ;投喂 4敢由 7敢喂	pqis
_投啊 ;投哈 4敢啊 7敢哈	pqit
_投嗯 ;投喊 4敢嗯 7敢喊	pqiu
_投只 ;投善 4敢只 7敢善	pqiv
_投发 ;投叹 4敢发 7敢叹	pqiw
_投美 ;投吗 4敢美 7敢吗	pqix
_投呀 ;投吼 4敢呀 7敢吼	pqiy
_投出 ;投呵 4敢出 7敢呵	pqiz
_投条 ;投务 4敢条 7敢务	pqja
_投待 ;投後 4敢待 7敢後	pqjb
_投己 ;投蛛 4敢己 7敢蛛	pqjc
_投处 ;投星 4敢处 7敢星	pqjd
_投日 ;投彼 4敢日 7敢彼	pqje
_投量 ;投征 4敢量 7敢征	pqjf
_投德 ;投早 4敢德 7敢早	pqjg
_投龙 ;投昆 4敢龙 7敢昆	pqjh
_投五 ;投晓 4敢五 7敢晓	pqji
_投得 ;投州 4敢得 7敢州	pqjj
_投题 ;投照 4敢题 7敢照	pqjk
_投时 ;投彻 4敢时 7敢彻	pqjl
_投明 ;投盟 4敢明 7敢盟	pqjm
_投乌 ;投忌 4敢乌 7敢忌	pqjn
_投往 ;投显 4敢往 7敢显	pqjo
_投电 ;投曳 4敢电 7敢曳	pqjp
_投最 ;投徒 4敢最 7敢徒	pqjq
_投改 ;投昌 4敢改 7敢昌	pqjr
_投备 ;投易 4敢备 7敢易	pqjs
_投很 ;投辛 4敢很 7敢辛	pqjt
_投律 ;投御 4敢律 7敢御	pqju
_投来 ;投典 4敢来 7敢典	pqjv
_投影 ;投景 4敢影 7敢景	pqjw
_投未 ;投暴 4敢未 7敢暴	pqjx
_投曼 ;投曙 4敢曼 7敢曙	pqjy
_投晚 ;投映 4敢晚 7敢映	pqjz
_投体 ;投休 4敢体 7敢休	pqka
_投们 ;投侍 4敢们 7敢侍	pqkb
_投任 ;投倒 4敢任 7敢倒	pqkc
_投及 ;投伯 4敢及 7敢伯	pqkd
_投作 ;投侯 4敢作 7敢侯	pqke
_投使 ;投师 4敢使 7敢师	pqkf
_投什 ;投值 4敢什 7敢值	pqkg
_投化 ;投似 4敢化 7敢似	pqkh
_投保 ;投召 4敢保 7敢召	pqki
_投但 ;投旧 4敢但 7敢旧	pqkj
_投候 ;投修 4敢候 7敢修	pqkk
_投件 ;投伤 4敢件 7敢伤	pqkl
_投信 ;投假 4敢信 7敢假	pqkm
_投代 ;投仰 4敢代 7敢仰	pqkn
_投住 ;投依 4敢住 7敢依	pqko
_投俗 ;投佩 4敢俗 7敢佩	pqkp
_投做 ;投低 4敢做 7敢低	pqkq
_投你 ;投传 4敢你 7敢传	pqkr
_投价 ;投伊 4敢价 7敢伊	pqks
_投便 ;投偷 4敢便 7敢偷	pqkt
_投佛 ;投健 4敢佛 7敢健	pqku
_投仍 ;投份 4敢仍 7敢份	pqkv
_投像 ;投紧 4敢像 7敢紧	pqkw
_投供 ;投借 4敢供 7敢借	pqkx
_投位 ;投伙 4敢位 7敢伙	pqky
_投何 ;投临 4敢何 7敢临	pqkz
_投先 ;投选 4敢先 7敢选	pqla
_投特 ;投盘 4敢特 7敢盘	pqlb
_投身 ;投艇 4敢身 7敢艇	pqlc
_投止 ;投舞 4敢止 7敢舞	pqld
_投决 ;投躯 4敢决 7敢躯	pqle
_投次 ;投资 4敢次 7敢资	pqlf
_投年 ;投狂 4敢年 7敢狂	pqlg
_投些 ;投此 4敢些 7敢此	pqlh
_投告 ;投造 4敢告 7敢造	pqli
_投复 ;投独 4敢复 7敢独	pqlj
_投切 ;投刊 4敢切 7敢刊	pqlk
_投步 ;投射 4敢步 7敢射	pqll
_投肯 ;投舫 4敢肯 7敢舫	pqlm
_投七 ;投冶 4敢七 7敢冶	pqln
_投东 ;投狼 4敢东 7敢狼	pqlo
_投船 ;投躲 4敢船 7敢躲	pqlp
_投每 ;投般 4敢每 7敢般	pqlq
_投干 ;投净 4敢干 7敢净	pqlr
_投物 ;投舱 4敢物 7敢舱	pqls
_投冷 ;投狗 4敢冷 7敢狗	pqlt
_投制 ;投航 4敢制 7敢航	pqlu
_投平 ;投准 4敢平 7敢准	pqlv
_投犯 ;投艘 4敢犯 7敢艘	pqlw
_投头 ;投躺 4敢头 7敢躺	pqlx
_投猛 ;投狄 4敢猛 7敢狄	pqly
_投牛 ;投猜 4敢牛 7敢猜	pqlz
_投某 ;投予 4敢某 7敢予	pqma
_投脚 ;投肚 4敢脚 7敢肚	pqmb
_投属 ;投屋 4敢属 7敢屋	pqmc
_投月 ;投胜 4敢月 7敢胜	pqmd
_投言 ;投肥 4敢言 7敢肥	pqme
